dia_semana;uf;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;condicao_metereologica;tracado_via
terca-feira;SP;Falta de Atencao Conducao;Capotamento;Com Vitimas Feridas;Pleno dia;Chuva;Reta
terca-feira;AL;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;PR;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;MG;Velocidade Incompativel;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Chuva;Curva
terca-feira;BA;Defeito Mecanico no Veiculo;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;GO;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Rotatoria
terca-feira;PI;Nao guardar distancia de seguranca;Engavetamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Nao Informado
terca-feira;BA;Ingestao de Alcool;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
terca-feira;SC;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;RJ;Falta de Atencao Conducao;Colisao transversal;Sem Vitimas;Pleno dia;Sol;Reta
terca-feira;BA;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;SC;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Sol;Nao Informado
terca-feira;PB;Defeito Mecanico no Veiculo;Tombamento;Com Vitimas Feridas;Pleno dia;Sol;Curva
terca-feira;RO;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Garoa/Chuvisco;Reta
terca-feira;SC;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Rotatoria
terca-feira;RS;Falta de Atencao Conducao;Tombamento;Sem Vitimas;Pleno dia;Ceu Claro;Reta
terca-feira;GO;Falta de Atencao Conducao;Capotamento;Com Vitimas Feridas;Pleno dia;Nublado;Nao Informado
terca-feira;SC;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;ES;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Desvio Temporario
terca-feira;PR;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;RS;Ingestao de Alcool;Atropelamento de Pedestre;Com Vitimas Feridas;Pleno dia;Ceu Claro;Viaduto
terca-feira;MG;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Curva
terca-feira;RJ;Velocidade Incompativel;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Chuva;Reta
terca-feira;PR;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Sol;Curva
terca-feira;BA;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;MG;Pista Escorregadia;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Chuva;Curva
terca-feira;MG;Falta de Atencao Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Nublado;Curva
terca-feira;MA;Falta de Atencao Conducao;Tombamento;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;GO;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Garoa/Chuvisco;Reta
terca-feira;GO;Defeito Mecanico no Veiculo;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;Curva
terca-feira;SE;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;SC;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;SC;Falta de Atencao Conducao;Colisao traseira;Sem Vitimas;Pleno dia;Ceu Claro;Reta
terca-feira;GO;Ingestao de Alcool;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;Reta
terca-feira;MA;Restricao de Visibilidade;Colisao transversal;Com Vitimas Feridas;Pleno dia;Chuva;Reta
terca-feira;RN;Desobediencia nas normas de transito pelo condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;PR;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Nao Informado
terca-feira;RN;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Fatais;Anoitecer;Ceu Claro;Reta
terca-feira;RO;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Chuva;Reta
terca-feira;SC;Velocidade Incompativel;Tombamento;Com Vitimas Feridas;Pleno dia;Sol;Curva
terca-feira;SP;Falta de Atencao Conducao;Tombamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;SC;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;MG;Pista Escorregadia;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Curva
terca-feira;MT;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Anoitecer;Chuva;Reta
terca-feira;MT;Avarias e/ou desgaste excessivo no pneu;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ignorado;Reta
terca-feira;CE;Falta de Atencao Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;ES;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Sem Vitimas;Anoitecer;Ceu Claro;Nao Informado
terca-feira;ES;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Anoitecer;Ceu Claro;Reta
terca-feira;RJ;Nao guardar distancia de seguranca;Engavetamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;RJ;Falta de Atencao do Pedestre;Tombamento;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;TO;Pista Escorregadia;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Reta
terca-feira;RS;Ingestao de Alcool;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;PR;Ingestao de Substancias Psicoativas;Colisao traseira;Sem Vitimas;Pleno dia;Ceu Claro;Nao Informado
terca-feira;DF;Falta de Atencao Conducao;Colisao traseira;Sem Vitimas;Anoitecer;Ceu Claro;Reta
terca-feira;RJ;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;Nao Informado
terca-feira;PR;Nao guardar distancia de seguranca;Engavetamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Nao Informado
terca-feira;SC;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Anoitecer;Ceu Claro;Reta
terca-feira;MG;Ultrapassagem Indevida;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;PE;Ingestao de Alcool;Colisao lateral;Sem Vitimas;Plena Noite;Ceu Claro;Reta
terca-feira;RS;Nao guardar distancia de seguranca;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Rotatoria
terca-feira;RJ;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Chuva;Curva
terca-feira;SP;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Chuva;Reta
terca-feira;MG;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Curva
terca-feira;RJ;Pista Escorregadia;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Chuva;Nao Informado
terca-feira;PR;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;CE;Ultrapassagem Indevida;Colisao transversal;Com Vitimas Fatais;Plena Noite;Ceu Claro;Reta
terca-feira;MG;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;SC;Falta de Atencao Conducao;Colisao traseira;Sem Vitimas;Pleno dia;Sol;Reta
terca-feira;PR;Falta de Atencao Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
terca-feira;RJ;Falta de Atencao Conducao;Capotamento;Com Vitimas Feridas;Pleno dia;Chuva;Reta
terca-feira;SP;Avarias e/ou desgaste excessivo no pneu;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Nao Informado
terca-feira;PR;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;RS;Nao guardar distancia de seguranca;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;RJ;Mal Subito;Colisao frontal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
terca-feira;MG;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;SC;Defeito Mecanico no Veiculo;Queda de ocupante de veiculo;Com Vitimas Feridas;Anoitecer;Ceu Claro;Reta
terca-feira;PR;Ultrapassagem Indevida;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;PR;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite;Nublado;Reta
terca-feira;PR;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;SC;Velocidade Incompativel;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
terca-feira;RO;Ingestao de Alcool;Colisao transversal;Com Vitimas Feridas;Anoitecer;Chuva;Reta
terca-feira;PE;Falta de Atencao Conducao;Capotamento;Com Vitimas Fatais;Plena Noite;Nublado;Reta
terca-feira;PR;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Nao Informado
terca-feira;PR;Velocidade Incompativel;Saida de leito carrocavel;Sem Vitimas;Anoitecer;Ceu Claro;Curva
terca-feira;BA;Ingestao de Alcool;Colisao frontal;Com Vitimas Fatais;Plena Noite;Ceu Claro;Curva
terca-feira;DF;Falta de Atencao Conducao;Colisao frontal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;SC;Nao guardar distancia de seguranca;Engavetamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;SP;Falta de Atencao Conducao;Colisao traseira;Sem Vitimas;Pleno dia;Ceu Claro;Reta
terca-feira;AL;Falta de Atencao Conducao;Colisao frontal;Com Vitimas Feridas;Plena Noite;Nublado;Reta
terca-feira;MG;Animais na Pista;Atropelamento de Animal;Com Vitimas Feridas;Plena Noite;Nublado;Nao Informado
terca-feira;MA;Falta de Atencao Conducao;Atropelamento de Pedestre;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;MG;Animais na Pista;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Nublado;Reta
terca-feira;MG;Animais na Pista;Atropelamento de Animal;Com Vitimas Feridas;Plena Noite;Nublado;Reta
terca-feira;PR;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veiculo;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;PE;Velocidade Incompativel;Colisao traseira;Com Vitimas Fatais;Plena Noite;Ceu Claro;Reta
terca-feira;BA;Falta de Atencao Conducao;Engavetamento;Com Vitimas Feridas;Plena Noite;Ceu Claro;Nao Informado
terca-feira;MG;Ingestao de Alcool;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;MG;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Plena Noite;Nublado;Reta
terca-feira;PR;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Nublado;Curva
terca-feira;RJ;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;GO;Ingestao de Alcool;Tombamento;Com Vitimas Feridas;Plena Noite;Ignorado;Nao Informado
terca-feira;MG;Pista Escorregadia;Capotamento;Sem Vitimas;Pleno dia;Chuva;Reta
terca-feira;RS;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Sem Vitimas;Plena Noite;Ceu Claro;Curva
terca-feira;RS;Ingestao de Alcool;Capotamento;Com Vitimas Feridas;Plena Noite;Ceu Claro;Retorno Regulamentado
terca-feira;CE;Defeito na Via;Tombamento;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;RS;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;RJ;Velocidade Incompativel;Colisao frontal;Com Vitimas Fatais;Plena Noite;Nublado;Curva
terca-feira;RS;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Sem Vitimas;Plena Noite;Ceu Claro;Reta
terca-feira;PE;Pista Escorregadia;Colisao frontal;Com Vitimas Feridas;Plena Noite;Nublado;Curva
terca-feira;PI;Falta de Atencao Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;MS;Animais na Pista;Atropelamento de Animal;Sem Vitimas;Plena Noite;Ceu Claro;Reta
terca-feira;RJ;Falta de Atencao do Pedestre;Atropelamento de Pedestre;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;MA;Falta de Atencao Conducao;Atropelamento de Pedestre;Com Vitimas Fatais;Plena Noite;Ceu Claro;Desvio Temporario
quarta-feira;PR;Falta de Atencao Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Nublado;Nao Informado
terca-feira;SC;Ingestao de Alcool e/ou substancias psicoativas pelo pedestre;Tombamento;Com Vitimas Feridas;Plena Noite;Ceu Claro;Intersecao de vias
terca-feira;SC;Agressao Externa;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Ceu Claro;Nao Informado
quarta-feira;AP;Ingestao de Alcool;Atropelamento de Pedestre;Com Vitimas Feridas;Plena Noite;Nublado;Reta
terca-feira;ES;Ingestao de Alcool;Colisao lateral;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
quarta-feira;PR;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Nublado;Reta
quarta-feira;BA;Animais na Pista;Atropelamento de Animal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;RJ;Ingestao de Alcool;Saida de leito carrocavel;Sem Vitimas;Anoitecer;Nublado;Reta
terca-feira;RJ;Falta de Atencao Conducao;Colisao frontal;Com Vitimas Feridas;Plena Noite;Nublado;Reta
terca-feira;GO;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Plena Noite;Ceu Claro;Desvio Temporario
quarta-feira;SP;Ingestao de Alcool;Tombamento;Com Vitimas Feridas;Plena Noite;Nublado;Reta
terca-feira;SC;Falta de Atencao Conducao;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Ceu Claro;Reta
quarta-feira;RS;Falta de Atencao do Pedestre;Colisao transversal;Com Vitimas Feridas;Amanhecer;Nublado;Curva
terca-feira;MG;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Nublado;Reta
quarta-feira;SC;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;RJ;Carga excessiva e/ou mal acondicionada;Tombamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
quarta-feira;RS;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;RS;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Amanhecer;Ceu Claro;Reta
quarta-feira;RJ;Desobediencia nas normas de transito pelo condutor;Incendio;Sem Vitimas;Plena Noite;Nublado;Reta
quarta-feira;RS;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;BA;Falta de Atencao do Pedestre;Atropelamento de Pedestre;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;MG;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Sol;Curva
quarta-feira;RS;Condutor Dormindo;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;RS;Defeito na Via;Tombamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;MG;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Nao Informado
terca-feira;RJ;Falta de Atencao Conducao;Saida de leito carrocavel;Sem Vitimas;Anoitecer;Nublado;Reta
quarta-feira;RS;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;MG;Defeito Mecanico no Veiculo;Incendio;Sem Vitimas;Pleno dia;Ceu Claro;Curva
quarta-feira;PR;Pista Escorregadia;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Nublado;Intersecao de vias
quarta-feira;SC;Ultrapassagem Indevida;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;CE;Falta de Atencao do Pedestre;Atropelamento de Pedestre;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;PR;Falta de Atencao Conducao;Colisao traseira;Sem Vitimas;Pleno dia;Ceu Claro;Reta
quarta-feira;RN;Ingestao de Alcool;Colisao lateral;Com Vitimas Feridas;Pleno dia;Sol;Curva
quarta-feira;RJ;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;CE;Defeito na Via;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;PI;Falta de Atencao Conducao;Atropelamento de Pedestre;Com Vitimas Feridas;Pleno dia;Sol;Reta
quarta-feira;CE;Falta de Atencao Conducao;Colisao lateral;Sem Vitimas;Pleno dia;Ceu Claro;Reta
terca-feira;MG;Condutor Dormindo;Colisao com objeto estatico;Sem Vitimas;Pleno dia;Ceu Claro;Reta
quarta-feira;TO;Condutor Dormindo;Colisao frontal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quarta-feira;PB;Velocidade Incompativel;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;Reta
